user_id,name,age,join_date,connections,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,community
0,User_0,21,2020-01-01,23,0.23232323232323235,0.10470036827851197,0.5561797752808989,0.27520442053624267,0.03069686834307666,0
1,User_1,48,2020-01-02,12,0.12121212121212122,0.033874572587290465,0.4714285714285714,0.12296628804680686,0.01682271567300705,1
2,User_2,35,2020-01-03,3,0.030303030303030304,9.349431118138601e-05,0.4267241379310345,0.08198571534406313,0.004904689987524261,0
3,User_3,55,2020-01-04,21,0.21212121212121213,0.09633832636703461,0.5210526315789473,0.19350368079944874,0.028688372988149937,4
4,User_4,41,2020-01-05,32,0.32323232323232326,0.17329999216089662,0.5857988165680473,0.33683474160073223,0.04245981373517466,0
5,User_5,40,2020-01-06,29,0.29292929292929293,0.1365612317565438,0.5689655172413793,0.31106473446799293,0.03861077699994396,1
6,User_6,39,2020-01-07,27,0.27272727272727276,0.13989328725453848,0.5561797752808989,0.25621087656740305,0.036283881656555474,1
7,User_7,19,2020-01-08,25,0.25252525252525254,0.09264709629233406,0.55,0.2993637392318591,0.03288844977451744,0
8,User_8,48,2020-01-09,13,0.13131313131313133,0.038163456961403906,0.47368421052631576,0.12797201331493963,0.018002240236740054,1
9,User_9,28,2020-01-10,8,0.08080808080808081,0.015197676023323961,0.4520547945205479,0.12014397070738625,0.011458821660776714,0
10,User_10,45,2020-01-11,15,0.15151515151515152,0.03970807282620255,0.46261682242990654,0.16083558598395578,0.020448526905245037,2
11,User_11,63,2020-01-12,5,0.05050505050505051,0.008529515566014376,0.45,0.11623527628826853,0.007525100952832028,0
12,User_12,49,2020-01-13,16,0.16161616161616163,0.05244745221651983,0.5025380710659898,0.15539891450079052,0.022270869856906832,3
13,User_13,22,2020-01-14,9,0.09090909090909091,0.023620737652807776,0.47368421052631576,0.11902485127634789,0.012898754970232264,1
14,User_14,55,2020-01-15,11,0.11111111111111112,0.024853600772191377,0.45622119815668205,0.10989784602234723,0.015203600418747982,2
